;hsa;hsb;hsc;hsl;dis a b;dis a c;dis a l;dis b c;dis b l;dis c l
1907;laʒ vnſ werden etteſwaʒ;laz vns gevallen etwaz;Laʒe ivnſ w͛den etwas;;0,48;0,39;1,0;0,55;1,0;1,0
1908;von diſem gewinne;Von diſme gewinne;An diſem gewinne;;0,18;0,12;1,0;0,24;1,0;1,0
1909;ob dir her nach ʒerinne;ob dir her nah zerinne;Ob dir her nach ʒerrinne;;0,09;0,08;1,0;0,17;1,0;1,0
1910;daʒ eʒ dir frum;Daz ez dir danne gefrum;Dc es dir danne gefrumet;;0,48;0,58;1,0;0,21;1,0;1,0
1911;ſo gelukes rat her vmbe chom;ſo gelvkes rat h͛ vmbe chvm;Ob geluͥkkes rat h͛ umbe kumet;;0,14;0,4;1,0;0,37;1,0;1,0
1912;dar an iſt ʒweifels niht;Des verchvnnen wir vns niht;Dar an ʒwiflon wir niht;;0,7;0,54;1,0;0,56;1,0;1,0
1913;daʒ ofte wider gelt geſchiht;wan ſiͤn vil diche lon geſchiht;Dc dikke wid͛ gelt beſchicht;;0,52;0,39;1,0;0,58;1,0;1,0
1914;eʒ ſey vbel od͛ guͦt;Er ſi vbel od͛ guͦt;;;0,2;1,0;1,0;1,0;1,0;1,0
1915;ſwaʒ ain man dem ande͛n tuͦt;daz gebovr anderm tuͦt;;;0,57;1,0;1,0;1,0;1,0;1,0
1916;ouch iſt dike geſeit;Ovch iſt vns diche geſeit;;;0,32;1,0;1,0;1,0;1,0;1,0
1917;eʒ ſei ain groʒʒe ſelicheit;ez ſi ein groz ſælicheit;;;0,26;1,0;1,0;1,0;1,0;1,0
1918;ſwer ſine frevde vn̄ ſine chlage;Swer ſine vrivde vn̄ ſin chlagen;;;0,16;1,0;1,0;1,0;1,0;1,0
1919;ʒe rehter maʒe t̃ge;inne rechter mazze chvnne t̃gen;;;0,45;1,0;1,0;1,0;1,0;1,0
1920;vn̄ ſey ſines liebeſ niht ʒeefroͤ;Siͤ ſines lieibes niht ze vro;;;0,39;1,0;1,0;1,0;1,0;1,0
1921;vndͤ chlage ſin lait alſo;vn̄ chlage ſin læit alſo;;;0,12;1,0;1,0;1,0;1,0;1,0
1922;daʒ ſich ſin ſchdͤ niht mere;Daz er ſiͤn iht mere;Es ſig ioch ivbel od͛ guͦt;;0,5;0,79;1,0;0,85;1,0;1,0
1923;dv gevdeſt alſo ſere;du gaheſt ouch zeſere;Swc gebur anderm tuͦt;;0,48;0,81;1,0;0,9;1,0;1,0
1924;vn̄ iſt nieman d͛ eʒ preiſe;Vn̄ iſt niemen d͛ dirz priͤſe;Es iſt nieman der dirs priſe;;0,28;0,36;1,0;0,28;1,0;1,0
1925;daʒ du in hoh͛ weiſe;daz du indiner hohen wiͤſe;Dc du in diner hoͮher wiſe;;0,38;0,5;1,0;0,27;1,0;1,0
1926;dein guͦt geſellen haſt v͛lobt;So guͦt geſellen haſt v͛lobet;Suſ guͦte geſellen haſt uerlobet;;0,17;0,28;1,0;0,19;1,0;1,0
1927;nv hiete ſich æner nach ertobt;nv het ſih einer nah ertobet;Nu hate ſich ener nach u͛toͮbet;;0,23;0,29;1,0;0,32;1,0;1,0
1928;vor ʒorne vnd vor laide;Vor zorn vn͛ vor læide;Von ſpotte vn̄ von laide;;0,22;0,33;1,0;0,38;1,0;1,0
1929;im benamen paide;im benamen div bæide;Im buͥnamen div baide;;0,3;0,38;1,0;0,19;1,0;1,0
1930;d͛ ſchade vn̄ der ware ſchimpf;D͛ zorn vn̄ ovh der ware ſchimf;D͛ ſpot vn̄ oͮch der waͤre ſchimph;;0,39;0,38;1,0;0,26;1,0;1,0
1931;allen ſinen gelimpf;allen ſiͤnen gelimf;Mit kreften allen ſinē gelimph;;0,11;0,45;1,0;0,52;1,0;1,0
1932;daʒ er ʒe der ſtunde;Daz er zeſtunde;Alſo dc er ʒe der ſelben ſtunde;;0,4;0,45;1,0;0,65;1,0;1,0
1933;ſweigen noch ſprechen chunde;weder ſwiͤgen noh ſprechen chvnde;Geſwigen noch geſprechē kūde;;0,3;0,3;1,0;0,42;1,0;1,0
1934;ſi vingerʒaigtē ovf in;Siͤn vrager zeigten vͦf in;Si vingerʒaigetont alle vf in;;0,42;0,34;1,0;0,55;1,0;1,0
1935;ſeht daʒ moht im den ſin;daz moͤcht ienen dem ſin;Dis mohte enem den ſin;;0,54;0,5;1,0;0,38;1,0;1,0
1936;vndͤ daʒ h͛ʒe ʒeprechen;Vn̄ daz hertze brechen;Vnd dc h͛ʒe brechen;;0,48;0,3;1,0;0,32;1,0;1,0
1937;ich ſol mich wol gerechen;ih ſol mih wol gerechen;Er dahte ich kan mich wol gerech̄;;0,08;0,42;1,0;0,48;1,0;1,0
1938;ſp̃ch er an diſem alten;Sprach er an diſem alten;An diſem alten;;0,12;0,43;1,0;0,46;1,0;1,0
1939;daʒ vihe wil ich behalten;ih wil ditz vih behalten;Dis vihe ſol ich behalten;;0,44;0,2;1,0;0,44;1,0;1,0
1940;daʒ iſt wol minem weibe chom;Daz iſt minen wiͤb rechte chomen;Das iſt minem wibe rehte komen;;0,53;0,5;1,0;0,22;1,0;1,0
1941;mine kint hant ſein frvm;milh vn̄ ander den fromen;Milch vnd and͛n den frumen;;0,56;0,62;1,0;0,23;1,0;1,0
1942;die ſi damit beraten ſol;Des ſi mih da vor berichten ſol;;;0,45;1,0;1,0;1,0;1,0;1,0
1943;ſi tuͦt eʒ gerne vn̄ kan eʒ wol;daz tvͦt ſi gerne vn̄ chan ez wol;;;0,27;1,0;1,0;1,0;1,0;1,0
1944;daʒ chint kumt mir reht;Daz chindelin iſt mir dar zv reht;;;0,52;1,0;1,0;1,0;1,0;1,0
1945;ainen aigen kneht;ze einem eigen chneht;;;0,38;1,0;1,0;1,0;1,0;1,0
1946;ʒivh ich minem ſun dar an;zivh ih miͤnen ſvnen dar an;Des ſi mich da vō beraten ſol;;0,26;0,77;1,0;0,8;1,0;1,0
1947;eʒ wirt ain ſouberlicher man;ez wirt ein ſovberlich man;Dc tuͦt ſi gern vnd kan es wol;;0,18;0,8;1,0;0,77;1,0;1,0
1948;Die vrowen vn̄ daʒ geſinde;Der froͮwen vn̄ ir geſinde;Diſvͥ vroͮwen mit ir kinde;;0,27;0,5;1,0;0,42;1,0;1,0
1949;ſo ich ſchierſt iemã vinde;ſo ih ſchiereſt ieman vinde;So ich iemer aller ſchieroſt winde;;0,11;0,53;1,0;0,56;1,0;1,0
1950;der ſi chouft dem gib ich ſie;Der ſi chovffet dem gib ih die;Der mir die giltet dem gib ich ſie;;0,2;0,35;1,0;0,35;1,0;1,0
1951;ich chan mich niht bedenchen wie;vn̄ enchan mih v͛denchen wie;Nu kan ich niht erdenken wie;;0,41;0,31;1,0;0,54;1,0;1,0
1952;ich deſ alten iht genieʒʒe;Wi ih des alten iht geniezze;Wie ich des alten iht genieſſe;;0,21;0,23;1,0;0,13;1,0;1,0
1953;ob ich in leben lieʒʒe;ob ih in leben liezze;Ob ich in lebon lieſſe;;0,14;0,18;1,0;0,23;1,0;1,0
1954;mir geit vm in nieman niht;Mirn gæb niemā vmbe in niht;Mir git vmb in nieman niht;;0,57;0,12;1,0;0,5;1,0;1,0
1955;er iſt ʒe arbaite en wiht;er iſt zearbæit enwiht;Er iſt ʒe aͤrbait ain wiht;;0,2;0,19;1,0;0,31;1,0;1,0
1956;vn̄ ſwedet nivr daʒ prot;Vn̄ ſwendet niewan daz brot;Wan dc er eht ſwendet dc brot;;0,3;0,62;1,0;0,59;1,0;1,0
1957;er muͦʒ chieſen den tot;er muz chieſen den tot;Dc im der tiefel tuͦ den tot;;0,09;0,54;1,0;0,54;1,0;1,0
1958;wie wart der mvͦdink ie ſo alt;Wi wart er nivdinch ie ſo alt;Wie wart er muͤdinc ie ſo alt;;0,27;0,17;1,0;0,17;1,0;1,0
1959;ſus ʒoh er in ſinen gewalt;ſus zoͤh er in īſeinen gewalt;Suſ ʒoh er hin in ſin gewalt;;0,17;0,25;1,0;0,33;1,0;1,0
1960;diſen tivren gewin;Diſen tivren gewin;Den vil tuͥren gewin;;0,06;0,45;1,0;0,4;1,0;1,0
1961;vn̄ traib in vnwirden hin;vnt træib mit vnwirden hin;Vnd traib in mit vnwirdi hin;;0,15;0,29;1,0;0,29;1,0;1,0
1962;in ſin hous da inne geſchach;Zeſiͤnem hovs da inne geſchah;In ſin hus dar inne beſchach;;0,28;0,14;1,0;0,38;1,0;1,0
1963;deſ doch nieman ſich v͛ſach;des ſih doch niemen verſah;Des ſich luͥʒel ieman u͛ſach;;0,48;0,57;1,0;0,5;1,0;1,0
1964;gemach vn̄ reſte;Gemach vn̄ reſte;Gemach vnd guͦte reſte;;0,06;0,36;1,0;0,32;1,0;1,0
1965;ſo wunnechliche geſte;ſo wnnechliche geſte;So wunnecliche geſte;;0,05;0,1;1,0;0,15;1,0;1,0
1966;chomen im da vor nie;Chomen zeſinem hovſe nie;Gewan er da vor vil ſeltan ie;;0,46;0,59;1,0;0,72;1,0;1,0
1967;noch gie d͛ wirt grimmik hie;Der wtgrimme noh allez gie;Nu gie der wirt grimme hie;;0,82;0,29;1,0;0,81;1,0;1,0
1968;bechummert mit gedenken;Bechumbert mit gedanchen;Bekumbert mit gedanken;;0,21;0,22;1,0;0,17;1,0;1,0
1969;ſin h͛ʒe begunde wanken;ſine hertze begunde wanchen;Sin herʒ begunde wanken;;0,26;0,17;1,0;0,26;1,0;1,0
1970;vm ſeine gevangen;Vmbe ſine gevangen;Vmb ſine gewangen;;0,22;0,24;1,0;0,11;1,0;1,0
1971;er blickte vber langen;er blichte ie belangen;Er blihte ie ivb͛ lange;;0,27;0,43;1,0;0,3;1,0;1,0
1972;die vrowen vn̄ daʒ kint an;Die frowen vn̄ daz chint an;Vͥnſer vroͮwen vnd ir kint an;;0,19;0,34;1,0;0,45;1,0;1,0
1973;d͛ vnbarmherʒe man;d͛ vmbarh͛tzich man;Nu vant der ſchaͤʒgiruc man;;0,42;0,63;1,0;0,67;1,0;1,0
1974;vand eʒ ʒaller ſtunde;Wand ez ze aller ſtunde;Das kindelin ʒe allen ſtunden;;0,22;0,45;1,0;0,41;1,0;1,0
1975;mit lachindem munde;mit lachvnde munde;Mit lachendem munde;;0,11;0,11;1,0;0,16;1,0;1,0
1976;vn̄ mit ſpilenden ougen;Vn̄ mit ſpilenden ovgen;Vnd mit ſpilenden oͮgen;;0,09;0,13;1,0;0,09;1,0;1,0
1977;als iʒ weſſe tougen;als im wart tovgen;Alſ im waͤre toͮgen;;0,32;0,37;1,0;0,26;1,0;1,0
1978;waʒ diſes wille were;Daz ditzſ wille wære;Des mannes vͥbeln gebaͤrde;;0,3;0,65;1,0;0,73;1,0;1,0
1979;er ſach ouch die mære;ingrozz͛ hertze ſwære;Mit h͛ʒeclicher ſwaͤrde;;0,81;0,78;1,0;0,74;1,0;1,0
1980;div vil ſchonen vrowen;So vant ie di froͮwen;So ſach er die vroͮwen;;0,68;0,64;1,0;0,32;1,0;1,0
1981;weilen begunde er ſchowen;vnder wiͤlen begunde er ſchowen;Vͥb͛ lanc begund er ſchoͮwen;;0,23;0,32;1,0;0,39;1,0;1,0
1982;wes d͛ alte phlege;Wes der alte phlæge;wes der alte pflaͤge;;0,21;0,25;1,0;0,2;1,0;1,0
1983;dē er ſo vnwæge;dem er ſo gar vnwæge;Dem er ſo gar vnwaͤge;;0,25;0,38;1,0;0,14;1,0;1,0
1984;in ſinem muͦte geweſen;Inſinem mute was geweſen;In ſinem h͛ʒen wc geweſen;;0,29;0,36;1,0;0,28;1,0;1,0
1985;vn̄ iach er ſolte niht geneſen;vn̄ iah er ſolt niht geneſen;Vnd iach er ſolti niht geneſen;;0,07;0,1;1,0;0,13;1,0;1,0
1986;er vermiſſet an im nie;Nu v͛miſt er an im me;Do u͛miſte er des an im nie;;0,41;0,48;1,0;0,37;1,0;1,0
1987;oder er ſæhe ime ie;ern ſah im indiv ovgen ie;Er ſaͤhe doch diu oͮgen ie;;0,72;0,73;1,0;0,42;1,0;1,0
1988;div ougen vber wallen;Mit træhern vberwallen;Mit ʒaͤhern vͥb͛ wallen;;0,36;0,43;1,0;0,26;1,0;1,0
1989;vn̄ die ʒeher vallen;von den wangen vallen;Vnd die haiſen traͤhen wallen;;0,43;0,48;1,0;0,52;1,0;1,0
1990;vber den part ʒetal;Vber den bart her zetal;Nider ivber den bart ʒe tal;;0,3;0,33;1,0;0,44;1,0;1,0
1991;nach aināder ſo geʒal;nah ein ander ſo gezal;Nach an and͛ ſo geʒal;;0,23;0,27;1,0;0,32;1,0;1,0
1992;daʒ ain zah͛ den andern ſluͦk;Daz ein zah͛ den andern ſluͤc;Dc ain traͤhen den and͛n ſcluͦg;;0,17;0,39;1,0;0,42;1,0;1,0
1993;ſwas er gewanteſ an im truͦk;ſwaz er gewandes ane truͤc;Swc er gewandes an truͦcg;;0,29;0,36;1,0;0,23;1,0;1,0
1994;daʒ er daʒ alleʒ vor begoʒ;Vntz er daz allez vor begoͤz;Das er das alles begos;;0,29;0,35;1,0;0,43;1,0;1,0
1995;ſin angeſt waʒ vn mazzen groʒ;ſiͤn angeſt was vmmazzen groz;Sin vorhte div wc vil groʒ;;0,17;0,62;1,0;0,69;1,0;1,0
1996;ſin ſchade was im ayn wint;Vn̄ doch vmbe ſih da wider ein wint;vnd vmb ſich ſelbē doͮch ain wint;;0,6;0,59;1,0;0,57;1,0;1,0
1997;wan vm die vrowen vn̄ daʒ kīt;ſo durch die froͮwen vn̄ daz chint;Wan vmb diſe vroͮw̄ vn̄ vmb iͬ kīt;;0,41;0,34;1,0;0,57;1,0;1,0
1998;daʒ er daʒ wiʒʒen ſolde;Daz er wizzen ſolte;Das er wiſſen ſolde;;0,39;0,35;1,0;0,21;1,0;1,0
1999;daʒ er ſey immer wolde;daz ſi iener wolte;Das div iaman wolde;;0,41;0,5;1,0;0,47;1,0;1,0
2000;fur aygen ſchalke hine geben;FFvr eigen ſchalch hine geben;Fuͥr aigenne ſchalchlich hī gebē;;0,24;0,41;1,0;0,35;1,0;1,0
2001;moht er da von ſin leben;moͤcht er dar vmb ſin leben;Moͤhte er darumbe ſin leben;;0,19;0,3;1,0;0,22;1,0;1,0
2002;mit einem har gefriſtet han;Gefriſtet mit einem wort han;Mit ainem worte gefriſtet han;;0,71;0,21;1,0;0,69;1,0;1,0
2003;des hiete er die weile niht getan;ern hit ez nimm͛ getan;Des enhette er niht getan;;0,58;0,42;1,0;0,48;1,0;1,0
2004;Got der yſraheliten;Der die iſraheliten;der die ẏſraheliten;;0,32;0,3;1,0;0,15;1,0;1,0
2005;bey pharaoniſ ʒeiten;bi pharaones ziͤten;Pi pharones ʒiten;;0,35;0,35;1,0;0,21;1,0;1,0
2006;ovʒ egypte laitte;Vz egypto leitte;Von egẏpto laite;;0,29;0,35;1,0;0,29;1,0;1,0
2007;vn̄ truchen wek beraite;vn̄ in truchen wech bereitte;Vnd in trukenen weg beraite;;0,25;0,33;1,0;0,32;1,0;1,0
2008;vber daʒ wilde mer;Durch daz wilde mer;Durch wilde mer;;0,32;0,39;1,0;0,21;1,0;1,0
2009;vn̄ der veinde her;vn̄ ir viende her;Vnd er ir viende her;;0,22;0,4;1,0;0,25;1,0;1,0
2010;da lie geligen tot;Dar inne lie beleiben tot;Dar inne lie beliben tot;;0,4;0,38;1,0;0,04;1,0;1,0
2011;vn̄ den ſinen himel prot;vn̄ ſit daz himeliſche brot;Vnd in dc vrone himel brot;;0,52;0,46;1,0;0,59;1,0;1,0
2012;in der wuͤſte regen hieʒ;Inder wſt regen liezze;In wuͤſti regnon lies;;0,38;0,42;1,0;0,5;1,0;1,0
2013;vnd ovʒ hertem ſtaine lieʒ;vn̄ ovz dem h͛tem ſtæin hiezze;Vnd vſſer dem herten ſtaine hiͤʒ;;0,43;0,41;1,0;0,5;1,0;1,0
2014;louter waʒʒer flieʒʒen;Lovter wazzer rinnen;Luter waſſer flieſſen;;0,41;0,27;1,0;0,43;1,0;1,0
2015;der geruͦchte diſeme ouch entſlieʒʒen;d͛ gerovht den w͛den innen;D͛ geruͦcht oͮch diſem entſcheſſen;;0,57;0,49;1,0;0,59;1,0;1,0
2016;ſiner barmunge vrſprink;Siͤner barmunge vrſprinch;Siner erbaͤrmde urſprunk;;0,16;0,38;1,0;0,44;1,0;1,0
2017;der æ ſo mortliche dink;d͛ e ſo mortlichiv dinch;Der e ſo mortlichiͮ dink;;0,29;0,17;1,0;0,25;1,0;1,0
2018;pruͦfte in ſinem muͦte;Brvͤvete inſinem muͦte;In ſinem h͛ʒen bruͦte;;0,27;0,68;1,0;0,73;1,0;1,0
2019;der cherte ſin herʒe ʒeguͦte;d͛ chert ez nu zeguͦte;Dis uerkerte er gar ʒe guͦte;;0,43;0,54;1,0;0,5;1,0;1,0
2020;ſchier er vmbe ſach;Schiere er wider vmbe ſach;Ʒehant er hin umbe ſach;;0,31;0,43;1,0;0,42;1,0;1,0
2021;ʒe Ioſeph er bærmichlich ſp̃ch;ze ioſeb er ſprach;Ʒe ioſeph vnde ſprach;;0,6;0,6;1,0;0,33;1,0;1,0
2022;lieb herre gehabt ivch wol;Lieber herre gehabt ivh wol;H͛re gehabent ivch wol;;0,15;0,38;1,0;0,48;1,0;1,0
2023;mines ʒornes ich vergeſſen ſol;mines zorns ih v͛gezzen ſol;Mines ʒornes ich u͛geſſen ſol;;0,23;0,13;1,0;0,24;1,0;1,0
2024;;;Gant fuͥr hin ʒuͦ dem kinde;;1,0;1,0;1,0;1,0;1,0;1,0
2025;;;Troͤſtent ivw͛ geſinde;;1,0;1,0;1,0;1,0;1,0;1,0
2026;ir ſeit ellende livte;Ir ſiͤt ellende livte;Ir ſint elende luͥte;;0,14;0,29;1,0;0,19;1,0;1,0
2027;durch got wil ich hivte;ih wil durch got hivte;Ich wil durch got huͥte;;0,65;0,7;1,0;0,17;1,0;1,0
2028;minen ſchaden v͛kieſen;Miͤnen ſchaden v͛chieſen;Minen ſchaden uͥb͛ kieſen;;0,17;0,2;1,0;0,24;1,0;1,0
2029;ir ſult niht v͛lieſen;ir ſvlt hie ze mir niht v͛lieſen;Ir ſont von mir niht u͛kieſen;;0,38;0,45;1,0;0,34;1,0;1,0
2030;get h͛ ʒvͦ dem kinde;Get her zv dem chinde;;;0,33;1,0;1,0;1,0;1,0;1,0
2031;vn̄ troſtet iwer geſinde;vn̄ troͤſtet iwer geſinde;;;0,04;1,0;1,0;1,0;1,0;1,0
2032;vntriwe ich gern an iv v͛bir;Daz ih ir guͦtes gern enbir;Won ich ivw͛s guͦtes wol enbir;;0,71;0,7;1,0;0,4;1,0;1,0
2033;vart alleſamt nach mir;vart alſ ſamfte nah mir;Varent alſanfte nach mir;;0,22;0,33;1,0;0,29;1,0;1,0
2034;ich eyle vor iw͛ aft͛ wege;Ich wil vor nv avfter wege;Ich wil vor iv aft͛ wege;;0,38;0,23;1,0;0,15;1,0;1,0
2035;vn̄ ſchaffe iv ſo getane phlege;vn̄ ahtiv ſo getan phlege;Vnd wil dar hain vmb ivw͛ pflege;;0,26;0,69;1,0;0,62;1,0;1,0
2036;als ich immer beſte chan;So ih aller beſte chan;Schaffon ſo ich beſte kan;;0,29;0,64;1,0;0,6;1,0;1,0
2037;von in hvb ſich der ſchach man;von in hub ſih der man;Er ſchiet mit vrlube dan;;0,3;0,73;1,0;0,75;1,0;1,0
2038;;;Vn̄ kam gegangē ſa ʒehant;;1,0;1,0;1,0;1,0;1,0;1,0
2039;;;Hin hain da er ſin wip vant;;1,0;1,0;1,0;1,0;1,0;1,0
2040;er ſp̃ch ʒvͦ ſinem weibe;Er ſprach zvͤ ſiͤnem wiͤbe;alſ er ſi erſt an ſach;;0,31;0,88;1,0;0,85;1,0;1,0
2041;bewar bey deinem leibe;bewar bedinem leibe;Vil lieplich er ʒuͦ ir ſprach;;0,14;0,86;1,0;0,86;1,0;1,0
2042;vn̄ als lieb ich dir ſey;Vn̄ als lieb als ih dir ſie;Alſ liep ich dir ſi;;0,3;0,38;1,0;0,48;1,0;1,0
2043;hie ſint levte nahen bei;hie ſint nahen livte biͤ;Hie ſint luͥte nahe bi;;0,5;0,21;1,0;0,46;1,0;1,0
2044;die varent nach mir her in;Vn̄ varent nah mir da h͛ in;Die wellent hinaht hie ſin;;0,33;0,58;1,0;0,67;1,0;1,0
2045;vn̄ wellen heinaht bei mir ſein;ſi wellent hie heint bi dir ſiͤn;Nu hilf mir durch den willē mī;;0,44;0,81;1,0;0,78;1,0;1,0
2046;ſwaʒ in oͮf der haide;Swaz in vͦf der heide;;;0,24;1,0;1,0;1,0;1,0;1,0
2047;geſchehen ſey ʒelaide;geſchehin ſiͤ ze leide;;;0,27;1,0;1,0;1,0;1,0;1,0
2048;daʒ ich ſev des ergetʒ;Daz ih ſihs ergezze;Dc ich ſi erſchaden ergeʒʒe;;0,5;0,48;1,0;0,52;1,0;1,0
2049;mach fiwer vn̄ chere dein fleiʒ;mach fiwer vnt cher daz flezze;Mache ain fuͥr vn̄ fuͥrbe die fleʒʒe;;0,26;0,44;1,0;0,5;1,0;1,0
2050;berait genuͦge ſpeiſe ʒvͦ;Vnt ſetz vns ſpiſe genuge zvͤ;Seʒʒe guͦt͛ ſpiſe genuͦg dar ʒuͦ;;0,76;0,69;1,0;0,59;1,0;1,0
2051;ich ſag dir mere waʒ dv tuͦ;vn̄ ſag dir me waz tu tvͦe;Ich ſage dir me wc du tuͦ;;0,37;0,26;1,0;0,35;1,0;1,0
2052;daʒ ich dir ſin gerne lon;Daz ih dir immer lone;Das ich dir es iemer lone;;0,4;0,4;1,0;0,24;1,0;1,0
2053;leg dich an vn̄ pint dich ſchon;lege dih vn̄ bint dir ſchone;Lege dich an vnd bint dir ſchone;;0,29;0,22;1,0;0,19;1,0;1,0
2054;eʒ mugen wol edellevte ſein;Ez mvgen wol edel livte ſin;Es mugent wol edel luͥte ſin;;0,22;0,25;1,0;0,18;1,0;1,0
2055;ſi fuerent ain herlich kindelein;ſi fvrent ein chindelin;Si fuͤrent dc ſchoͤnſte kindelin;;0,34;0,44;1,0;0,47;1,0;1,0
2056;daʒ nie weip ſchonirs getruͦk;Daz nie wiͤp ſo ſchonez truc;Das ie dekain vroͮwe truͦg;;0,48;0,59;1,0;0,61;1,0;1,0
2057;auch iſt wunnechlich genuͦch;ouch wnnechlich genuc;Vnd iſt oͮch wnneclich genuͦg;;0,29;0,45;1,0;0,41;1,0;1,0
2058;deſ ſelben kindeſ muͦter;Iſt des ſelben chindes mvͦter;Div vroͮwe des kindes muͦter;;0,31;0,43;1,0;0,48;1,0;1,0
2059;ain altherre guͦter;ein altherre guͦter;Ain alt h͛re guͦter;;0,05;0,21;1,0;0,21;1,0;1,0
2060;graweiʒ als ain ſne;Weiz als ein ſne;Von alt͛ wis alſ ain ſne;;0,32;0,46;1,0;0,54;1,0;1,0
2061;ob er die vrowen iht beſte;ob er di froͮwen iht beſte;Ob er die vroͮwen iht beſte;;0,12;0,07;1,0;0,11;1,0;1,0
2062;des ich niht wiʒʒen kan;Des en wæiz ih ab noh an;Des enwais ich ab noch an;;0,71;0,72;1,0;0,2;1,0;1,0
2063;er iſt leiht ir vater oder ir man;er leiht ir vat͛ od leiht ir man;Er iſt lihte ir watt͛ alſ ir man;;0,33;0,3;1,0;0,5;1,0;1,0
2064;der kumt mit in auch da her;Wan er vert ouh mit ir da her;Der kumet oͮch mit ir da her;;0,55;0,43;1,0;0,34;1,0;1,0
2065;nv hilf daʒ ich ſev gewer;nu aht daz ih ſiͤ gewer;hilf mir dc ich ſiv gewer;;0,36;0,4;1,0;0,44;1,0;1,0
2066;guͦter handelunge nach ir ſchaden;Guter handelunge nah ir ſchaden;Guͦtes gemaches nach ir ſchaden;;0,09;0,33;1,0;0,39;1,0;1,0
2067;ob ſi daʒ kint wellen paden;ob ſi daz chint welle baden;Vnd ob ſi dc kint wellen baden;;0,19;0,23;1,0;0,3;1,0;1,0
2068;daʒ fuͦge in ſo dv beſte mvgeſt;Des hilf in ſo dv beſte mvgeſt;Des hilf in ſo du beſte mugeſt;;0,26;0,32;1,0;0,07;1,0;1,0
2069;vn̄ daʒ dv e dv eʒ ſaūfte legeſt;vn̄ daz duz ſamfte gelegeſt;Vnd wie du es ſanfte gelegeſt;;0,42;0,42;1,0;0,31;1,0;1,0
2070;eʒ bedarf wol guͦͦteſ gemacheſ;Ez bedarf wol gemaches;Im iſt liht not gemaches;;0,37;0,63;1,0;0,5;1,0;1,0
2071;alſo wol beſaches;nu ſih wi dv im gemaches;Vliʒe dich wie du im gemacheſt;;0,58;0,7;1,0;0,37;1,0;1,0
2072;als ich dich bit vn̄ æ bat;Schoͤn vn̄ ein vil ræine bat;Schone vnd raine ain bat;;0,68;0,77;1,0;0,43;1,0;1,0
2073;do er eʒ geſchaffen hat;als er gebot vn̄ bat;;;0,65;1,0;1,0;1,0;1,0;1,0
2074;div vrowe ſin weip niht enlieʒ;Div hovſrowe niht enliez;;;0,4;1,0;1,0;1,0;1,0;1,0
2075;ſwaʒ ſi d͛ wirt tuͦn hieʒ;ſin tæte als d͛ wirt hiez;;;0,64;1,0;1,0;1,0;1,0;1,0
2076;vnd beʒʒert eʒ ſwa ſi mohte;Vnt bezzert ez ſwa ſi mochte;Das beſſerot ſi ſwa ſi moͤhte;;0,21;0,31;1,0;0,31;1,0;1,0
2077;als eʒ ir triwen tohte;als ir triwen tochte;Alſ es ir h͛re toͤhte;;0,18;0,41;1,0;0,48;1,0;1,0
2078;vil wol ſi ſich bant;FFleizchlichen ſi ir bant;do ſi ir ſchͤne gebant;;0,6;0,64;1,0;0,64;1,0;1,0
2079;vn̄ leit an ir gewant;vn̄ ſlvch in ir gewant;vnd aͤlles ir gewant;;0,23;0,38;1,0;0,41;1,0;1,0
2080;ſo ſieʒ het beſte;So ſiz aller beſte;Angelait das beſte;;0,39;0,61;1,0;0,67;1,0;1,0
2081;vnde pat die geſte;hete vn̄ bat die geſte;Do kamen die geſte;;0,36;0,44;1,0;0,5;1,0;1,0
2082;got willechomen ſein;Got willechomen ſiͤn;Die hies ſi got willekomē ſin;;0,15;0,53;1,0;0,57;1,0;1,0
2083;vn̄ enphie der vrowen kindelin;ſi enphie d͛ frowen chindelin;Si nam der vroͮwen kindelin;;0,27;0,3;1,0;0,41;1,0;1,0
2084;ſi drukt eʒ an ir bruſt;Vnt drucht ez an ir bruſte;Vnd druht es an ir bruͥſte;;0,27;0,27;1,0;0,15;1,0;1,0
2085;ſi halſt eʒ vn̄ kuſt;ſi halſtez vnt chuſte;Alſ des wol geluſte;;0,29;0,75;1,0;0,67;1,0;1,0
2086;in ir herʒen ſi iach;In ir hertzen ſi iach;;;0,14;1,0;1,0;1,0;1,0;1,0
2087;als auch d͛ wirt æ ſprach;als ir wirt e ſprach;;;0,32;1,0;1,0;1,0;1,0;1,0
2088;daʒ nie von weibe kæme;Daz nie von wiͤbe qvæme;;;0,26;1,0;1,0;1,0;1,0;1,0
2089;ain chint ſo genæme;ein chint ſo genæme;;;0,05;1,0;1,0;1,0;1,0;1,0
2090;in daʒ hous gienk ſi ſa;In daz hovs gie ſi ſa;Vnd truͦg es in dc hus ſa;;0,22;0,68;1,0;0,68;1,0;1,0
2091;ſi gunde nieman da;ſi begunde niemen da;Si gunde oͧch nieman da;;0,15;0,26;1,0;0,39;1,0;1,0
2092;der eʒ troute wan ſi aine;Der iz trovte wan ſi eine;Der es trute fuͥr ſich aine;;0,2;0,33;1,0;0,41;1,0;1,0
2093;louter vn̄ raine;lovter vnde reine;Schoͤne vn̄ vil raine;;0,24;0,48;1,0;0,57;1,0;1,0
2094;het ſi gemachet ain bat;Het ſi beræitet æin bat;Was da beraitet ain bat;;0,3;0,39;1,0;0,3;1,0;1,0
